comment_id,post_id,platform,comment_text,user,likes,date
118,30,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@karen26_Cloud Architect,12,2024-12-26
119,30,LinkedIn,Pricing for non-profits?,@evan47_Cloud Architect,24,2024-12-25
120,31,LinkedIn,Deployed this across our 17 locations!,@tpineda_CIO,55,2024-08-22
121,31,LinkedIn,Terraform provider available?,@kristibrown_Security Engineer,82,2024-08-23
122,31,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@yandrews_CIO,12,2024-08-23
123,32,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@justin00_CTO,27,2024-05-25
124,32,LinkedIn,Pricing for enterprises?,@nicholas95_CIO,33,2024-05-24
125,32,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@michaelbell_CTO,8,2024-05-24
126,32,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@jenniferbecker_Cloud Architect,94,2024-05-25
127,32,LinkedIn,Pricing for enterprises?,@tyler46_Cloud Architect,19,2024-05-24
128,33,LinkedIn,Pricing for enterprises?,@rachelcasey_CTO,16,2024-09-03
129,33,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@henryscott_CIO,21,2024-09-04
130,33,LinkedIn,Deployed this across our 13 locations!,@jasonmartinez_Security Engineer,28,2024-09-04
131,33,LinkedIn,"SLA breach during {fake.random_element(['migration','pen test'])}",@xhouse_Cloud Architect,59,2024-09-05
132,33,LinkedIn,LLM integration works flawlessly,@patricia92_CTO,3,2024-09-03
133,34,LinkedIn,Deployed this across our 43 locations!,@ifields_CTO,26,2025-03-27
134,34,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@sergiolambert_CIO,61,2025-03-26
135,34,LinkedIn,LLM compatibility issues in v3.0,@katie80_CIO,50,2025-03-27
136,35,LinkedIn,Kubernetes compatibility issues in v2.1,@cantrelldeborah_CTO,66,2024-05-29
137,35,LinkedIn,"SLA breach during {fake.random_element(['migration','pen test'])}",@brayalexis_Cloud Architect,88,2024-05-28
138,35,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@dustinschneider_Security Engineer,3,2024-05-28
139,35,LinkedIn,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@melanie12_Security Engineer,21,2024-05-28
140,35,LinkedIn,Kubernetes integration works flawlessly,@hhardin_Security Engineer,35,2024-05-28
141,36,Twitter,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@torresjoshua_CIO,58,2024-09-14
142,36,Twitter,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@joycekelly_Security Engineer,48,2024-09-13
143,36,Twitter,Deployed this across our 14 locations!,@sarahsherman_Security Engineer,11,2024-09-13
144,37,LinkedIn,LLM integration works flawlessly,@martinezdonna_CTO,84,2024-10-31
145,37,LinkedIn,Deployed this across our 11 locations!,@michaelmiller_Security Engineer,99,2024-11-02
146,37,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@allenjaclyn_CIO,70,2024-10-31
147,37,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@maybarbara_Cloud Architect,72,2024-11-02
148,37,LinkedIn,Pricing for non-profits?,@ryanmurphy_Security Engineer,63,2024-11-02
149,38,LinkedIn,LLM compatibility issues in v2.1,@floydmichael_CIO,38,2024-07-31
150,38,LinkedIn,Zero Trust integration works flawlessly,@katherine78_CIO,57,2024-07-29
151,38,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@ashah_Cloud Architect,76,2024-07-29
152,38,LinkedIn,Pricing for non-profits?,@debbie75_CIO,9,2024-07-31
153,39,Twitter,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@wlopez_CIO,6,2025-03-07
154,39,Twitter,Terraform provider available?,@larry23_Security Engineer,59,2025-03-07
155,39,Twitter,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@fburgess_CTO,14,2025-03-05
156,40,LinkedIn,Deployed this across our 28 locations!,@myersryan_Cloud Architect,30,2024-07-28
157,40,LinkedIn,Deployed this across our 34 locations!,@prussell_CIO,40,2024-07-27
158,40,LinkedIn,IaC compatibility issues in v3.0,@iwade_Security Engineer,87,2024-07-27
159,40,LinkedIn,IaC compatibility issues in v2.1,@tommyjones_Security Engineer,51,2024-07-28
160,41,LinkedIn,Deployed this across our 18 locations!,@brianlopez_CTO,28,2024-05-04
161,41,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@gmorrison_Cloud Architect,78,2024-05-06
162,41,LinkedIn,"SLA breach during {fake.random_element(['migration','pen test'])}",@ambermatthews_Security Engineer,19,2024-05-06
163,41,LinkedIn,Deployed this across our 23 locations!,@qjames_Cloud Architect,38,2024-05-04
164,42,Twitter,Deployed this across our 49 locations!,@russell93_Cloud Architect,81,2024-05-03
165,42,Twitter,Kubernetes compatibility issues in v3.0,@gomezkathleen_CIO,33,2024-05-02
166,42,Twitter,Deployed this across our 44 locations!,@lnguyen_Cloud Architect,59,2024-05-03
167,43,LinkedIn,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@nicolelarson_Cloud Architect,68,2025-03-17
168,43,LinkedIn,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@brownstephanie_CTO,86,2025-03-16
169,43,LinkedIn,Terraform provider available?,@owilson_CIO,55,2025-03-16
170,43,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@jcastillo_CTO,12,2025-03-18
171,44,LinkedIn,Deployed this across our 30 locations!,@hallthomas_CTO,21,2024-09-08
172,44,LinkedIn,Deployed this across our 46 locations!,@valerie91_CIO,67,2024-09-08
173,44,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@hollywhite_Cloud Architect,61,2024-09-08
174,44,LinkedIn,Deployed this across our 44 locations!,@wendyhuber_CTO,81,2024-09-09
175,44,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@hmiller_Cloud Architect,96,2024-09-08
176,45,LinkedIn,Terraform provider available?,@fbrock_CTO,47,2025-03-28
177,45,LinkedIn,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@jeffrey85_CTO,26,2025-03-27
178,45,LinkedIn,Pricing for enterprises?,@pmarsh_Cloud Architect,21,2025-03-29
179,46,Facebook,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@karen11_CIO,51,2024-10-26
180,46,Facebook,Pricing for enterprises?,@ppayne_Security Engineer,92,2024-10-25
181,46,Facebook,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@ashley02_CIO,66,2024-10-25
182,46,Facebook,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@austinross_Security Engineer,1,2024-10-26
183,47,Twitter,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@parkerhorn_CTO,86,2025-02-24
184,47,Twitter,Deployed this across our 26 locations!,@victormccall_Cloud Architect,61,2025-02-25
185,47,Twitter,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@brendanichols_Cloud Architect,8,2025-02-26
186,47,Twitter,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@whitneyroberts_CIO,57,2025-02-24
187,48,Twitter,Zero Trust integration works flawlessly,@wclark_CIO,40,2024-04-17
188,48,Twitter,Deployed this across our 29 locations!,@stewartmichael_Security Engineer,56,2024-04-16
189,48,Twitter,Pricing for enterprises?,@brandi10_CIO,49,2024-04-17
190,49,LinkedIn,Pricing for non-profits?,@charles80_CIO,43,2024-10-05
191,49,LinkedIn,SIEM compatibility issues in v2.1,@dwatkins_CIO,85,2024-10-05
192,49,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@lori50_Security Engineer,88,2024-10-05
193,50,Twitter,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@tammy78_CIO,88,2025-02-13
194,50,Twitter,Deployed this across our 48 locations!,@guzmanderrick_Security Engineer,55,2025-02-13
195,50,Twitter,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@tadams_Cloud Architect,13,2025-02-15
196,51,LinkedIn,SIEM integration works flawlessly,@kevin44_Cloud Architect,77,2024-04-27
197,51,LinkedIn,SIEM integration works flawlessly,@cmitchell_CTO,19,2024-04-25
198,51,LinkedIn,Deployed this across our 21 locations!,@aliciasmith_CTO,61,2024-04-25
199,51,LinkedIn,"SLA breach during {fake.random_element(['migration','pen test'])}",@martinroger_CTO,92,2024-04-26
200,52,Facebook,Terraform provider available?,@chris54_CIO,25,2025-03-04
201,52,Facebook,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@alyssa63_Security Engineer,30,2025-03-02
202,52,Facebook,Pricing for enterprises?,@chriscruz_CIO,49,2025-03-04
203,53,Facebook,IaC integration works flawlessly,@llin_Cloud Architect,68,2024-12-03
204,53,Facebook,Kubernetes integration works flawlessly,@charleslee_Security Engineer,82,2024-12-02
205,53,Facebook,Zero Trust integration works flawlessly,@ashleymoore_CTO,40,2024-12-02
206,53,Facebook,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@vickiharris_CIO,15,2024-12-02
207,54,Twitter,Deployed this across our 38 locations!,@ellisjoe_CTO,74,2025-02-20
208,54,Twitter,Deployed this across our 20 locations!,@zdavid_CTO,77,2025-02-20
209,54,Twitter,Zero Trust integration works flawlessly,@marie47_CTO,39,2025-02-21
210,54,Twitter,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@vanessahernandez_Security Engineer,27,2025-02-19
211,54,Twitter,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@usanchez_CTO,38,2025-02-21
212,55,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@morriskristi_Cloud Architect,2,2024-09-06
213,55,LinkedIn,LLM compatibility issues in v3.0,@taylorfelicia_CIO,12,2024-09-08
214,55,LinkedIn,Deployed this across our 24 locations!,@stevenphillips_CIO,90,2024-09-06
215,55,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@jbennett_CTO,25,2024-09-08
216,56,Twitter,Pricing for enterprises?,@williamspatricia_Cloud Architect,28,2025-03-02
217,56,Twitter,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@susan58_CTO,18,2025-03-04
218,56,Twitter,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@denniskeller_Cloud Architect,73,2025-03-02
219,57,LinkedIn,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@allencathy_CIO,60,2024-05-22
220,57,LinkedIn,Kubernetes integration works flawlessly,@josephlopez_CIO,28,2024-05-23
221,57,LinkedIn,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@stuartbailey_Cloud Architect,23,2024-05-23
222,57,LinkedIn,Zero Trust compatibility issues in v2.1,@gabrielfrazier_CTO,57,2024-05-22
223,58,Facebook,Pricing for enterprises?,@victoriatucker_CIO,39,2024-11-02
224,58,Facebook,Pricing for enterprises?,@dadams_Cloud Architect,28,2024-11-01
225,58,Facebook,Terraform provider available?,@abigail62_CIO,68,2024-11-01
226,59,LinkedIn,IaC integration works flawlessly,@kfloyd_CIO,19,2025-01-26
227,59,LinkedIn,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@laura25_CIO,18,2025-01-28
228,59,LinkedIn,Deployed this across our 47 locations!,@melissa84_CTO,64,2025-01-26
229,60,Twitter,Deployed this across our 21 locations!,@chandlercrystal_Security Engineer,65,2024-12-26
230,60,Twitter,Deployed this across our 14 locations!,@jennifer83_Cloud Architect,30,2024-12-26
231,60,Twitter,Kubernetes integration works flawlessly,@mary45_Cloud Architect,45,2024-12-25
232,60,Twitter,Pricing for enterprises?,@veronicaross_Security Engineer,64,2024-12-26
233,61,LinkedIn,Deployed this across our 15 locations!,@gary66_Cloud Architect,59,2024-05-21
234,61,LinkedIn,Deployed this across our 39 locations!,@scottkelly_CTO,42,2024-05-21
235,61,LinkedIn,IaC compatibility issues in v2.1,@davislaura_CTO,37,2024-05-22
236,61,LinkedIn,Deployed this across our 44 locations!,@uvance_Cloud Architect,87,2024-05-22
237,62,Twitter,"SLA breach during {fake.random_element(['migration','pen test'])}",@williamsshawn_CTO,29,2025-01-07
238,62,Twitter,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@grahambrian_CTO,96,2025-01-08
239,62,Twitter,Deployed this across our 14 locations!,@iwalker_CIO,37,2025-01-07
240,62,Twitter,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@glopez_Cloud Architect,34,2025-01-07
241,63,LinkedIn,Deployed this across our 32 locations!,@fstewart_Cloud Architect,51,2024-09-14
242,63,LinkedIn,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@hbrown_Cloud Architect,32,2024-09-12
243,63,LinkedIn,Zero Trust integration works flawlessly,@robert91_Security Engineer,46,2024-09-14
244,63,LinkedIn,SIEM integration works flawlessly,@chambersdorothy_Security Engineer,68,2024-09-14
245,64,Twitter,Terraform provider available?,@stantonjonathan_Security Engineer,99,2024-05-29
246,64,Twitter,IaC integration works flawlessly,@herreratimothy_CTO,51,2024-05-29
247,64,Twitter,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@jeanette98_Cloud Architect,82,2024-05-30
248,65,LinkedIn,Pricing for enterprises?,@jeffery95_Security Engineer,19,2024-05-09
249,65,LinkedIn,Terraform provider available?,@davisalex_CTO,85,2024-05-09
250,65,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@jcooke_Security Engineer,36,2024-05-10
251,66,Twitter,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@melanieshelton_CTO,11,2025-03-30
252,66,Twitter,Terraform provider available?,@justin74_Security Engineer,21,2025-03-30
253,66,Twitter,Pricing for non-profits?,@joseph86_Security Engineer,92,2025-03-29
254,66,Twitter,SIEM integration works flawlessly,@matthewboyer_CTO,41,2025-03-30
255,66,Twitter,"SLA breach during {fake.random_element(['migration','pen test'])}",@gilberttaylor_Cloud Architect,70,2025-03-29
256,67,Twitter,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@campbellryan_Cloud Architect,48,2024-05-30
257,67,Twitter,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@richardadams_Cloud Architect,75,2024-05-29
258,67,Twitter,Pricing for enterprises?,@paul89_CTO,23,2024-05-31
259,67,Twitter,"SLA breach during {fake.random_element(['migration','pen test'])}",@ttaylor_CIO,81,2024-05-31
260,67,Twitter,Deployed this across our 23 locations!,@qrobinson_Security Engineer,91,2024-05-30
261,68,LinkedIn,Deployed this across our 16 locations!,@anitawilson_Cloud Architect,35,2025-01-19
262,68,LinkedIn,"SLA breach during {fake.random_element(['migration','pen test'])}",@daycynthia_Cloud Architect,45,2025-01-17
263,68,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@patriciasummers_CTO,96,2025-01-19
264,68,LinkedIn,Terraform provider available?,@xhood_CTO,67,2025-01-19
265,68,LinkedIn,Kubernetes integration works flawlessly,@wmcneil_CTO,47,2025-01-18
266,69,Twitter,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@charles96_Security Engineer,80,2024-04-23
267,69,Twitter,Terraform provider available?,@alexander56_Security Engineer,93,2024-04-23
268,69,Twitter,Deployed this across our 19 locations!,@turnermark_CTO,42,2024-04-23
269,70,LinkedIn,IaC integration works flawlessly,@desiree56_CTO,35,2024-05-05
270,70,LinkedIn,IaC compatibility issues in v3.0,@kingmatthew_Cloud Architect,47,2024-05-06
271,70,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@amy59_Cloud Architect,26,2024-05-04
272,71,LinkedIn,Pricing for enterprises?,@bcisneros_Cloud Architect,67,2024-07-02
273,71,LinkedIn,Kubernetes integration works flawlessly,@jonescaitlin_Cloud Architect,37,2024-07-02
